datetime,open,high,low,close,volume
2021-05-15 22:00:00,47983.92188,48281.96875,47928.10938,47967.66016,0.0
2021-05-15 23:00:00,47964.33984,47964.33984,46635.070312,46738.80859,0.0
2021-05-16 00:00:00,46775.80078,47673.53906,46520.55859,47264.71094,0.0
2021-05-16 01:00:00,47276.55078,48139.62891,47276.55078,48061.92969,0.0
2021-05-16 02:00:00,48064.48047,48289.98828,47964.16016,48152.69922,0.0
2021-05-16 03:00:00,48152.71875,48364.62109,47774.71875,48364.62109,0.0
2021-05-16 04:00:00,48384.94922,48767.011719,48068.67969,48115.55078,0.0
2021-05-16 05:00:00,48118.82031,48336.25,48073.21094,48153.94922,0.0
2021-05-16 06:00:00,48176.050781,49449.46875,48150.19922,49048.078125,0.0
2021-05-16 07:00:00,49052.39062,49367.57812,48860.66016,49367.57812,0.0
2021-05-16 08:00:00,49370.26172,49370.26172,48714.070312,48920.51953,0.0
2021-05-16 09:00:00,48902.55859,49402.53906,48902.55859,49266.64844,0.0
2021-05-16 10:00:00,49267.019531,49770.16016,49234.87109,49587.62109,0.0
2021-05-16 11:00:00,49594.82031,49594.82031,48974.10938,49059.14844,0.0
2021-05-16 12:00:00,49063.011719,49184.75,48600.0,48653.60156,0.0
2021-05-16 13:00:00,48649.82031,49018.011719,48491.75,48958.41016,0.0
2021-05-16 14:00:00,48946.16016,49232.5,48105.73047,48356.039062,0.0
2021-05-16 15:00:00,48340.0,48361.64844,47767.85156,47767.85156,0.0
2021-05-16 16:00:00,47764.48828,48121.35938,47001.0,47312.089844,0.0
2021-05-16 17:00:00,47290.25,47447.35938,46233.60938,47142.39062,0.0
2021-05-16 18:00:00,47114.64062,47368.85156,45521.73828,45521.73828,0.0
2021-05-16 19:00:00,45432.011719,46197.66016,44689.30859,45546.78125,0.0
2021-05-16 20:00:00,45465.28125,45806.19141,43919.92188,44055.039062,0.0
2021-05-16 21:00:00,44097.050781,45535.42969,43920.62891,45158.10156,0.0
2021-05-16 22:00:00,45193.39844,46249.80078,45193.39844,45563.85938,0.0
2021-05-16 23:00:00,45548.62891,46483.17188,45396.26172,46440.67188,0.0
2021-05-17 00:00:00,46455.37109,46610.17188,45497.44922,45592.21094,0.0
2021-05-17 01:00:00,45586.26953,45586.26953,44717.80078,44849.19141,0.0
2021-05-17 02:00:00,44868.85156,45212.0,44320.58984,44470.46875,0.0
2021-05-17 03:00:00,44463.19922,44668.51172,42823.96094,42907.42969,0.0
2021-05-17 04:00:00,42938.35156,43688.23828,42175.67969,43521.82812,0.0
2021-05-17 05:00:00,43538.62109,44136.82812,42425.28906,44136.82812,0.0
2021-05-17 06:00:00,44138.37891,45286.71875,44126.98828,44334.71094,0.0
2021-05-17 07:00:00,44327.37891,45274.33984,44222.12109,45208.42969,0.0
2021-05-17 08:00:00,45196.96875,45527.19141,44736.75,45399.96875,0.0
2021-05-17 09:00:00,45395.80859,45504.92969,45017.19922,45454.60156,0.0
2021-05-17 10:00:00,45458.37891,45529.55078,44514.10938,44576.96094,0.0
2021-05-17 11:00:00,44580.42188,45819.28906,44476.35156,45803.17969,0.0
2021-05-17 12:00:00,45842.12891,45842.12891,44767.44922,44970.75,0.0
2021-05-17 13:00:00,44997.011719,45182.69141,44589.10156,45067.60156,0.0
2021-05-17 14:00:00,45085.89844,45124.25,43889.46875,44479.71094,0.0
2021-05-17 15:00:00,44470.26172,44622.62891,43204.78906,43388.46094,0.0
2021-05-17 16:00:00,43344.33984,43741.92188,42555.67969,42555.67969,0.0
2021-05-17 17:00:00,42535.17969,43107.12891,42173.011719,42589.10938,0.0
2021-05-17 18:00:00,42588.28906,43747.23828,42366.62109,43556.83984,0.0
2021-05-17 19:00:00,43518.32812,44406.48047,43518.32812,44238.98828,0.0
